Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Country_copy,Area (sq. mi.),Pop. Density (per sq. mi.)
87,4,2011,8.5,10.0,64.969,0.0,99,99,29.1,99,99,0.13,33167,3.17,3.3,3.2,7.0,0,1,74.6,Kuwait,17820.0,177.89001122334454
85,0,2011,38.5,55.5,260.375,1.47,96,28,22.9,97,96,1.8,1357,43.18,8.1,7.9,6.2,0,1,61.9,Kenya,582650.0,74.10967132927144
62,3,2004,4.0,4.9,86.3185,11.83,88,89,26.0,96,96,0.08,35034,82.52,1.1,1.1,12.9,1,0,78.7,Germany,357021.0,231.13486321532906
5,8,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1.0,0.9,9.8,0,1,75.9,Argentina,2766890.0,15.421646686351824
124,2,2008,18.0,21.1,124.016,6.0,86,79,26.3,86,86,0.4,9894,3.52,2.0,2.0,9.2,0,1,76.4,Panama,78200.0,45.012787723785166
122,4,2015,9.6,11.2,89.1875,0.45,99,98,26.3,99,99,0.05,18445,4.27,7.1,6.9,9.5,0,1,76.9,Oman,212460.0,20.097900781323542
58,3,2014,3.1,4.1,74.8905,12.07,83,77,25.0,98,98,0.1,36379,66.31,0.6,0.6,11.4,1,0,82.7,France,547030.0,121.21821472314133
20,7,2011,6.0,6.9,101.667,4.71,88,88,25.4,89,88,0.08,4185,3.66,2.6,2.5,7.2,0,1,76.2,BosniaandHerzegovina,51129.0,71.58364137769172
103,0,2002,68.6,111.5,227.5,0.012,61,64,23.9,91,89,0.45,1234,2.78,1.5,1.3,3.1,0,1,60.9,Mauritania,1030700.0,2.697196080333754
146,0,2008,101.1,166.5,331.401,0.0,42,64,22.7,40,31,0.13,265,11.4,7.2,7.0,2.1,0,1,53.3,Somalia,637657.0,17.87795005778969
9,1,2011,30.5,34.9,134.006,0.6,84,92,26.5,91,87,0.08,5153,9.17,2.8,2.9,10.7,0,1,71.2,Azerbaijan,86600.0,105.8891454965358
100,1,2007,15.1,17.6,79.101,1.51,98,56,24.1,98,98,0.17,8535,0.34,14.3,14.4,3.9,0,1,74.6,Maldives,300.0,1133.3333333333333
6,7,2012,14.7,16.4,129.837,3.89,95,97,26.1,96,95,0.08,3313,2.88,2.0,2.1,11.3,0,1,73.8,Armenia,29800.0,96.64429530201342
63,0,2009,48.8,72.3,261.2595,1.26,94,55,23.5,94,94,1.06,1348,24.17,7.3,7.2,6.7,0,1,60.6,Ghana,239460.0,100.93543806898856
146,0,2006,104.0,172.0,337.337,0.0001,42,64,22.5,26,26,0.13,237,10.76,7.4,7.2,2.1,0,1,52.7,Somalia,637657.0,16.874275668580445
154,7,2014,3.8,4.3,49.998,9.62,88,87,25.1,96,96,0.05,84348,8.19,0.4,0.3,13.4,1,0,83.2,Switzerland,41290.0,198.3531121336885
5,8,2005,14.8,16.5,131.475,7.6,88,88,26.6,95,98,0.15,11192,38.89,1.1,1.0,9.1,0,1,74.5,Argentina,2766890.0,14.055491906075051
68,0,2010,72.6,114.5,287.62,3.06,83,64,23.0,82,83,2.41,586,1.52,8.0,7.9,2.6,0,1,54.6,Guinea-Bissau,36120.0,42.08194905869325
145,6,2000,25.6,30.7,228.169,0.71,81,65,24.9,88,86,0.17,1939,0.41,1.4,1.4,4.6,0,1,67.4,SolomonIslands,28450.0,14.411247803163445
37,0,2000,106.5,159.3,344.252,2.05,69,64,20.7,42,40,1.07,351,47.11,12.4,12.3,3.3,0,1,50.0,"Congo,Dem.Rep.",2345410.0,20.086040393790423
113,0,2010,36.8,49.1,412.4735,1.4,83,64,23.8,83,83,5.85,4147,2.12,1.4,1.4,6.2,0,1,56.7,Namibia,825418.0,2.5683956492346907
